,emin,de,sens,emax,en
0,20.25,60.0,2.8975437e-05,80.25,40.3120639511
1,80.25,70.0,1.0844687e-05,150.25,109.806932841
2,150.25,150.0,6.5648477e-06,300.25,212.397181008
3,300.25,200.0,4.843524e-06,500.25,387.556528135
4,500.25,500.0,3.0320101e-06,1000.25,707.371940707
5,1000.25,1000.0,1.7575498e-06,2000.25,1414.47872465
6,2000.25,2000.0,8.8554299e-07,4000.25,2828.69228841
7,4000.25,3999.0,5.0092147e-07,7999.25,5656.76584388
